Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1
166.0,Tasnim Abedin Mahi,1031.0,318.0,74.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,104.0,91.0,30.0
166.0,Abdullah As Sabith,1031.0,118.0,159.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,191.0,119.0,30.0
168.0,Ryan Hossain,1036.0,180.0,109.0,105.0,46.0,18.0,13.0,2.0,142.0,5.0,36.0,231.0,119.0,30.0
169.0,Azmain Ahnaf Shochcho,1041.0,185.0,129.0,50.0,37.0,15.0,13.0,2.0,189.0,5.0,36.0,231.0,119.0,30.0
170.0,Asif Ahmed,1045.0,74.0,270.0,105.0,46.0,18.0,13.0,2.0,96.0,5.0,36.0,231.0,119.0,30.0
171.0,Mohammad Redwan Karim Ork,1047.0,258.0,97.0,105.0,46.0,18.0,13.0,2.0,166.0,5.0,36.0,152.0,119.0,30.0
171.0,Mouaz Safwan Huq,1047.0,47.0,296.0,105.0,46.0,18.0,13.0,2.0,99.0,5.0,36.0,231.0,119.0,30.0
173.0,Amlan Chowdhury,1049.0,105.0,150.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,231.0,119.0,30.0
174.0,Saumik Saha Kabbya,1059.0,108.0,157.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,231.0,119.0,30.0
174.0,Abraar Saadath,1059.0,222.0,180.0,105.0,46.0,18.0,13.0,2.0,164.0,5.0,36.0,164.0,74.0,30.0
176.0,Mohammad Fazle Elahi,1062.0,171.0,175.0,61.0,26.0,18.0,11.0,2.0,182.0,5.0,36.0,231.0,114.0,30.0
177.0,Aditya Roy,1066.0,162.0,226.0,105.0,46.0,18.0,13.0,2.0,143.0,5.0,36.0,161.0,119.0,30.0
178.0,Sheikh Mohammad Faisal Nirjhor,1067.0,126.0,296.0,93.0,46.0,18.0,13.0,2.0,52.0,5.0,36.0,231.0,119.0,30.0
179.0,Mohammad Saiful Islam Saad,1072.0,132.0,296.0,105.0,46.0,18.0,13.0,2.0,39.0,5.0,36.0,231.0,119.0,30.0
179.0,Saad Kabir Uddin,1072.0,154.0,124.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,231.0,119.0,30.0
181.0,Fathoor Rabbani Chisty,1073.0,157.0,155.0,105.0,46.0,18.0,13.0,2.0,175.0,5.0,36.0,212.0,119.0,30.0
181.0,Mohammed Safaet Hossain,1073.0,186.0,296.0,67.0,46.0,18.0,13.0,2.0,140.0,5.0,36.0,115.0,119.0,30.0
183.0,Tahmeed Muhtasim,1074.0,38.0,296.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,177.0,119.0,30.0
184.0,Injamul Islam Munna,1075.0,202.0,296.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,14.0,119.0,30.0
184.0,Faias Hossain Omio,1075.0,178.0,143.0,100.0,45.0,18.0,13.0,2.0,189.0,5.0,27.0,231.0,94.0,30.0
186.0,Mohammad Navid Newaz,1078.0,255.0,127.0,97.0,46.0,18.0,13.0,2.0,167.0,5.0,36.0,163.0,119.0,30.0
187.0,Mutameed Shahmat Faisel,1080.0,216.0,89.0,86.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,231.0,119.0,30.0
188.0,Aryan Khan Ehan,1083.0,136.0,153.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,231.0,119.0,30.0
